rank,app_id,game_name,current_players,peak_players,hours_played,current_datetime
1,730,Counter-Strike 2,688530,1717624,754472551,2026-04-12 12:11:42+08:00
2,570,Dota 2,322459,698281,312722227,2026-04-12 12:11:42+08:00
3,578080,PUBG: BATTLEGROUNDS,195723,1290870,248421458,2026-04-12 12:11:42+08:00
4,2868840,Slay the Spire 2,194348,572332,176516406,2026-04-12 12:11:42+08:00
5,3321460,Crimson Desert,138945,275859,80372115,2026-04-12 12:11:42+08:00
6,2676230,FiveM,132760,212020,91291902,2026-04-12 12:11:42+08:00
7,1172470,Apex Legends™,106363,301520,89423713,2026-04-12 12:11:42+08:00
8,3419430,Bongo Cat,97704,168134,91116079,2026-04-12 12:11:42+08:00
9,1808500,ARC Raiders,94661,196761,67992355,2026-04-12 12:11:42+08:00
10,2767030,Marvel Rivals,93573,141041,49141627,2026-04-12 12:11:42+08:00
