app_id,game_image,twenty_four_hour_peak_players,all_time_peak_players,current_datetime
730,https://steamcharts.com/assets/steam-images/730.jpg,1539152,1818368,2026-04-12 13:24:34+08:00
570,https://steamcharts.com/assets/steam-images/570.jpg,672141,1291328,2026-04-12 13:24:35+08:00
578080,https://steamcharts.com/assets/steam-images/578080.jpg,979753,3236027,2026-04-12 13:24:36+08:00
2868840,https://steamcharts.com/assets/steam-images/2868840.jpg,353444,574638,2026-04-12 13:24:37+08:00
3321460,https://steamcharts.com/assets/steam-images/3321460.jpg,198122,275859,2026-04-12 13:24:39+08:00
1172470,https://steamcharts.com/assets/steam-images/1172470.jpg,301520,624473,2026-04-12 13:24:40+08:00
2676230,https://steamcharts.com/assets/steam-images/2676230.jpg,205254,212020,2026-04-12 13:24:40+08:00
3419430,https://steamcharts.com/assets/steam-images/3419430.jpg,134682,193859,2026-04-12 13:24:41+08:00
2767030,https://steamcharts.com/assets/steam-images/2767030.jpg,93856,642333,2026-04-12 13:24:42+08:00
1808500,https://steamcharts.com/assets/steam-images/1808500.jpg,128751,465097,2026-04-12 13:24:43+08:00
