app_id,month,avg_players,gain,gain_pct,peak_players
1425250,Last 30 Days,104.38,101.3,3260.42,1001
1425250,March 2026,3.11,-609.01,-99.49,18
1425250,March 2025,612.12,583.91,2069.83,3544
1425250,November 2024,28.21,-41.08,-59.28,292
1425250,May 2024,69.29,67.98,5203.43,1009
1425250,March 2024,1.31,-0.21,-14.0,5
1425250,January 2024,1.52,-5.05,-76.89,23
1425250,November 2023,6.57,-2.24,-25.41,331
1425250,August 2023,8.81,-16.41,-65.07,45
1425250,July 2023,25.22,20.4,423.58,586
1425250,June 2023,4.82,-31.3,-86.66,35
1425250,May 2023,36.12,0.69,1.94,773
1425250,April 2023,35.43,1.44,4.25,1157
1425250,March 2023,33.99,-43.0,-55.85,367
1425250,February 2023,76.99,59.8,347.9,2349
1425250,January 2023,17.19,0.0,0.0,105
2141300,Last 30 Days,162.74,48.0,41.79,1055
2141300,March 2026,114.78,-26.66,-18.85,244
2141300,February 2026,141.44,52.7,59.38,342
2141300,January 2026,88.74,-21.9,-19.79,306
2141300,December 2025,110.64,-70.83,-39.03,229
2141300,November 2025,181.47,-107.09,-37.11,422
2141300,October 2025,288.55,265.66,1160.39,811
2141300,September 2025,22.89,-8.27,-26.55,51
2141300,August 2025,31.17,-1.55,-4.73,94
2141300,July 2025,32.72,-0.96,-2.85,73
2141300,June 2025,33.68,3.83,12.83,73
2141300,May 2025,29.85,9.82,49.07,75
2141300,April 2025,20.02,-2.95,-12.84,48
2141300,March 2025,22.97,-6.39,-21.75,58
2141300,February 2025,29.36,-11.12,-27.48,66
2141300,January 2025,40.48,0.39,0.98,95
2141300,December 2024,40.09,-0.22,-0.56,122
2141300,November 2024,40.31,-28.23,-41.19,114
2141300,October 2024,68.54,51.54,303.12,336
2141300,September 2024,17.0,2.16,14.53,44
2141300,August 2024,14.85,-0.92,-5.85,37
2141300,July 2024,15.77,-6.83,-30.21,32
2141300,June 2024,22.59,-13.73,-37.79,61
2141300,May 2024,36.32,-62.08,-63.09,96
2141300,April 2024,98.41,54.88,126.11,321
2141300,March 2024,43.52,37.69,646.36,628
2141300,February 2024,5.83,-11.5,-66.35,17
2141300,January 2024,17.33,6.56,60.86,70
2141300,December 2023,10.77,2.19,25.49,191
2141300,November 2023,8.58,2.12,32.86,33
2141300,October 2023,6.46,-2.99,-31.61,23
2141300,September 2023,9.45,-2.82,-23.01,37
2141300,August 2023,12.27,5.52,81.73,54
2141300,July 2023,6.75,-10.33,-60.48,18
2141300,June 2023,17.09,4.1,31.55,664
2141300,May 2023,12.99,-10.23,-44.05,38
2141300,April 2023,23.21,15.81,213.34,443
2141300,March 2023,7.41,-2.61,-26.07,28
2141300,February 2023,10.02,-2.38,-19.22,29
2141300,January 2023,12.41,2.08,20.09,37
2141300,December 2022,10.33,-5.35,-34.1,35
2141300,November 2022,15.68,-46.85,-74.93,75
2141300,October 2022,62.53,0.0,0.0,475
1836120,Last 30 Days,178.72,-10.9,-5.75,1976
1836120,March 2026,189.62,-61.98,-24.64,2276
1836120,February 2026,251.6,-72.06,-22.27,2505
1836120,January 2026,323.66,-58.0,-15.2,3083
1836120,December 2025,381.66,221.39,138.13,4299
1836120,November 2025,160.28,48.42,43.29,1235
1836120,October 2025,111.86,-305.68,-73.21,1411
1836120,September 2025,417.54,296.16,244.02,3729
1836120,August 2025,121.37,-325.09,-72.81,3323
1836120,July 2025,446.46,355.57,391.2,13919
1836120,June 2025,90.89,64.39,242.89,757
1836120,May 2025,26.51,-101.33,-79.27,287
1836120,April 2025,127.84,48.18,60.47,2182
1836120,March 2025,79.67,-55.75,-41.17,1324
1836120,February 2025,135.41,36.52,36.92,1494
1836120,January 2025,98.9,66.8,208.14,2122
1836120,December 2024,32.09,29.54,1157.35,315
1836120,November 2024,2.55,0.88,52.7,69
1836120,October 2024,1.67,-5.82,-77.68,6
1836120,September 2024,7.49,3.67,96.09,200
1836120,August 2024,3.82,2.29,150.13,36
1836120,July 2024,1.53,0.44,40.9,43
1836120,June 2024,1.08,0.04,3.65,3
1836120,May 2024,1.05,0.05,4.55,3
1836120,April 2024,1.0,0.05,5.79,4
1836120,March 2024,0.95,-0.21,-17.87,3
1836120,February 2024,1.15,0.06,5.56,5
1836120,January 2024,1.09,-0.01,-1.26,3
1836120,November 2022,1.1,0.0,0.0,7
396160,Last 30 Days,394.52,30.0,8.23,1938
396160,March 2026,364.52,84.62,30.23,1938
396160,February 2026,279.9,80.87,40.63,536
396160,January 2026,199.03,-1474.56,-88.11,1401
396160,December 2025,1673.59,1666.65,24003.64,11230
396160,November 2025,6.94,-208.47,-96.78,101
396160,October 2025,215.41,106.02,96.92,1491
396160,September 2025,109.39,51.41,88.67,1342
396160,August 2025,57.98,-203.76,-77.85,694
396160,July 2025,261.74,235.43,894.82,2817
396160,May 2025,26.31,9.73,58.73,287
396160,March 2025,16.57,-54.46,-76.67,217
396160,January 2025,71.04,-26.08,-26.86,1308
396160,December 2024,97.12,62.13,177.54,1104
396160,October 2024,34.99,30.13,619.92,622
396160,September 2024,4.86,3.71,321.66,83
396160,August 2024,1.15,-56.72,-98.01,16
396160,July 2024,57.87,45.3,360.21,1831
396160,June 2024,12.58,10.91,653.62,344
396160,May 2024,1.67,0.7,72.53,12
396160,February 2024,0.97,-3.62,-78.91,3
396160,December 2023,4.59,2.76,151.82,62
396160,October 2023,1.82,-47.44,-96.3,21
